date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:41	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2012:02:40%20GMT	https://edrop1.site.live/robots.txt		(from )
17:02:42	178599/178599	---MC-	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202024%2012:02:40%20GMT	https://edrop1.site.live/	/home/musaddiq/websites/E-Drop/edrop1.site.live/index.html	(from )
17:02:44	3351/3351	---M--	200	added ('OK')	image/png	etag:%22d17-59947dc1dae56%22	https://heyleia.com/images/favicon.png	/home/musaddiq/websites/E-Drop/heyleia.com/images/favicon.png	(from https://edrop1.site.live/)
17:02:46	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1762a%22	https://code.jquery.com/jquery-latest.min.js	/home/musaddiq/websites/E-Drop/code.jquery.com/jquery-latest.min.js	(from https://edrop1.site.live/)
17:02:47	36816/36816	---MCZ	200	added ('OK')	application/javascript	etag:W/%224becdc9104623e891fbb9d38bba01be4%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js	/home/musaddiq/websites/E-Drop/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js	(from https://edrop1.site.live/)
17:02:49	35359/35359	---MCZ	200	added ('OK')	text/css	etag:W/%22265a36ec650d63e307e611cdf14d9b89%22	https://use.fontawesome.com/releases/v5.0.8/css/all.css	/home/musaddiq/websites/E-Drop/use.fontawesome.com/releases/v5.0.8/css/all.css	(from https://edrop1.site.live/)
17:02:50	542/542	---M--	200	added ('OK')	text/javascript	etag:%2221e-5a00d4508d934%22	https://heyleia.com/js/analytics.js	/home/musaddiq/websites/E-Drop/heyleia.com/js/analytics.js	(from https://edrop1.site.live/)
17:02:54	107677/107677	---M--	200	added ('OK')	text/css	etag:%221a49d-5685a92281900%22	https://edrop1.site.live/css/bootstrap.min.css	/home/musaddiq/websites/E-Drop/edrop1.site.live/css/bootstrap.min.css	(from https://edrop1.site.live/)
17:02:55	13050/13050	---M--	200	added ('OK')	text/css	etag:%2232fa-59947db747d28%22	https://heyleia.com/css/sweetalert.css	/home/musaddiq/websites/E-Drop/heyleia.com/css/sweetalert.css	(from https://edrop1.site.live/)
17:02:57	40802/40802	---M--	200	added ('OK')	text/javascript	etag:%229f62-59947dce27621%22	https://heyleia.com/js/swal.min.js	/home/musaddiq/websites/E-Drop/heyleia.com/js/swal.min.js	(from https://edrop1.site.live/)
17:02:58	194/194	---MC-	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202024%2012:02:57%20GMT	https://fonts.googleapis.com/css?family=Lato&display=swap	/home/musaddiq/websites/E-Drop/fonts.googleapis.com/cssf44d.css	(from https://edrop1.site.live/)
17:02:59	418/418	---MC-	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202024%2012:02:58%20GMT	https://fonts.googleapis.com/css?family=Poppins:800,800i&display=swap	/home/musaddiq/websites/E-Drop/fonts.googleapis.com/cssaca0.css	(from https://edrop1.site.live/)
17:03:00	416/416	---MC-	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202024%2012:02:59%20GMT	https://fonts.googleapis.com/css?family=PT+Sans:700,700i&display=swap	/home/musaddiq/websites/E-Drop/fonts.googleapis.com/css0974.css	(from https://edrop1.site.live/)
17:03:01	445/445	---MC-	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202024%2012:03:00%20GMT	https://fonts.googleapis.com/css?family=Raleway:300,300i&display=swap	/home/musaddiq/websites/E-Drop/fonts.googleapis.com/css3de3.css	(from https://edrop1.site.live/)
17:03:02	9862/9862	---M--	200	added ('OK')	text/css	etag:%222686-5d9658aca368b%22	https://heyleia.com/css/leia.css	/home/musaddiq/websites/E-Drop/heyleia.com/css/leia.css	(from https://edrop1.site.live/)
